biased_sentence,biased_words,rephrase_possible,debiased_sentence
Practicing pro-life litigators know that Trump judges are saving lives by permitting restrictions on abortion to go into effect.,"['pro-life', 'saving']",yes,"Practicing litigators believe that Trump-appointed judges are allowing restrictions on abortion to go into effect, which they argue will impact abortion access."
"But even after contracting a life-threatening infection that might have been prevented by a vaccine, his family stood firm on their anti-vax stance.",['anti-vax'],yes,"But even after contracting a life-threatening infection that might have been prevented by a vaccine, his family maintained their stance against vaccination."
"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, “40 million of us who can’t start a family,” the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they “Can’t take a good idea and start a business and can’t buy our first home.”","['sob', 'stories', 'diaper-changing', 'daddy', 'suffocating', 'contradictorily']",yes,"Next came the personal anecdotes. The candidates suggested that student loans are a significant burden for a generation. As one candidate mentioned, ""40 million of us can't start a family,"" adding that they ""can't take a good idea and start a business or buy our first home."""
"For those who think this country needs baseball now to raise its depressed spirits, you might consider a cautionary historical precedent, the Summer of Swat of 1998.","['depressed', 'cautionary']",yes,"For those who think this country needs baseball now to uplift its spirits, you might consider a historical precedent, the Summer of Swat of 1998."
"As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, offended by his bullying demeanor and chaotic style.","['chaotic', 'style', 'bullying', 'demeanor']",yes,"As a political calculation, it shows Biden’s campaign is confident about their standing with many suburban moderates who were swing voters in the past but have moved solidly into the Democratic Party during Trump’s presidency, troubled by his approach and leadership style"
"For our friends on the Left, Trump’s refusal to wear a mask is irresponsible toxic masculinity that is sending the wrong message and getting people killed, even though Dr. Deborah Brix has explained it’s not much of a risk. Biden, meanwhile, to their minds is leading by example by wearing his mask even when there is no good reason he should.","['irresponsible', 'toxic', 'masculinity', 'wrong']",yes,"For our friends on the Left, Trump’s refusal to wear a mask is seen as sending the wrong message and potentially contributing to harm, even though Dr. Deborah Brix has explained it’s not much of a risk. Biden, meanwhile, is viewed as leading by example by wearing his mask even when it may not be necessary."
"But there’s also an intensifying global climate crisis, which carries life-changing risks for billions of people.","['intensifying', 'life-changing']",yes,"But there’s also a growing global climate crisis, which carries significant risks for billions of people."
"It’s a trap because a college education doesn’t guarantee a good job. For years, the return on investment for higher education has steadily declined. More than 40 percent of recent college graduates are underemployed and work in jobs that do not require a college education.",['trap'],yes,"It’s a challenge because a college education doesn’t guarantee a good job. For years, the return on investment for higher education has steadily declined. More than 40 percent of recent college graduates are underemployed and work in jobs that do not require a college education."
"Other than the fact that none of the above is even close to the truth and that the entire premise of the article is the fakest of fake news, the Daily Beast has a real bombshell on its hands.","['of', 'fake', 'news', 'truth', 'bombshell', 'fakest']",yes,"Other than the fact that none of the above is accurate and that the entire premise of the article is misleading, the Daily Beast has a significant story on its hands."
A slew of other world leaders and senior officials lined up to express their dismay over what they said was Trump's willingness to hamper the WHO just when the world needs it the most.,"['hamper', 'dismay', 'willingness']",yes,A number of other world leaders and senior officials expressed concern over what they described as Trump's actions potentially affecting the WHO just when the world needs it the most.
"Since the start of the coronavirus outbreak, Trump has hampered efforts to slow the virus’s spread and encouraged Americans’ restlessness under quarantine.","['hampered', 'restlessness']",yes,"Since the start of the coronavirus outbreak, Trump has hindered efforts to slow the virus’s spread and contributed to Americans’ frustration under quarantine."
This would be the same Taliban that gleefully murders young women for the crime of going to school and regards democracy as a crime against Islam punishable by death.,"['gleefully', 'murders', 'democracy', 'crime']",yes,This would be the same Taliban that opposes young women attending school and considers democracy incompatible with their interpretation of Islam.
"But Trump and his most ardent supporters seem almost physically repulsed at the very idea of wearing a mask. One Republican Ohio state legislator even claimed that since “we are all created in the image and likeness of God,” covering the face with a mask is an affront to God’s creation.","['repulsed', 'affront', 'to', 'God’s', 'creation']",yes,"But Trump and some of his supporters appear strongly opposed to the idea of wearing a mask. One Republican Ohio state legislator even argued that since ""we are all created in the image and likeness of God,"" covering the face with a mask contradicts the natural design."
"The man-made Amazon fires are for clearing the land of its forests and indigenous people. The benefits are for Jair Bolsonaro’s cronies, while producing a climate disaster for the world.","['cronies', 'climate', 'disaster']",yes,"The man-made Amazon fires are aimed at clearing land for development, affecting forests and indigenous communities. The benefits largely favor Jair Bolsonaro’s allies, while contributing to significant environmental challenges globally."
"Nevertheless, the media jihad continues, and that includes NBC shamelessly running a debunked and deceptive smear story that had been reported on and debunked all the way back in May.","['shamelessly', 'debunked', 'deceptive', 'smear', 'story', 'jihad', 'media']",yes,"Nevertheless, the media coverage continues, and that includes NBC running a story that had previously been reviewed and found to be inaccurate, dating back to May."
Tlaib charged that Israel is using U.S. funding to further its goal of an ethno-supremacist state.,['ethno-supremacist'],yes,Tlaib charged that Israel is using U.S. funding to further its goal of a state based on ethnic dominance.
"Of course, billionaires and corporations that reaped millions of dollars from the GOP tax cuts pumped some of that windfall into Republican campaigns, allowing Sen. Mitch McConnell, R-Ky., to retain control of the Senate.","['reaped', 'of', 'pumped']",yes,"Of course, billionaires and corporations that gained millions of dollars from the GOP tax cuts invested some of that windfall into Republican campaigns, helping Sen. Mitch McConnell, R-Ky., retain control of the Senate."
"The Christian Right, white nationalists and coronavirus truthers are so twisted that they have even turned Dr. Anthony Fauci into one of the objects of their hatred. Fauci, an expert immunologist who is part of Trump’s coronavirus task force, has had to increase his security detail because of death threats from extremists who believe he is exaggerating the threat in order to undermine Trump’s presidency.","['twisted', 'hatred', 'truthers', 'extremists', 'coronavirus']",yes,"The Christian Right, some white nationalists, and individuals skeptical of the coronavirus have targeted Dr. Anthony Fauci, a renowned immunologist and member of Trump’s coronavirus task force. Fauci has had to increase his security detail due to threats from individuals who believe he is overstating the threat in order to undermine Trump’s presidency."
"Until the last few years, all Washington could talk about was how to cut Social Security benefits, and by how much but a grass-roots progressive coalition began campaigning for expansion in 2013, and the idea has since moved straight to the heart of the Democratic Party.",[],yes,"Until the last few years, Washington primarily focused on discussions about reducing Social Security benefits. However, a grass-roots progressive coalition began advocating for expansion in 2013, and this idea has since gained significant support within the Democratic Party."
"For Fox, Clinton, Omar, and Ocasio-Cortez represent perfect targets in terms of riling up its intolerant base: Clinton is a woman of a certain age, while Ocasio-Cortez and Omar are women of a certain heritage.","['riling', 'intolerant', 'certain']",yes,"For Fox, Clinton, Omar, and Ocasio-Cortez are figures that draw significant attention: Clinton is an older woman, while Ocasio-Cortez and Omar represent women from diverse backgrounds."
"Today’s mainstream media doesn’t want you to remember, but the early days of feminism were rife with ideological battles and  backstabbing that would put a medieval court to shame.","['to', 'remember', 'rife', 'backstabbing', 'mainstream', 'media', 'ideological', 'battles']",yes,"Today’s media may not highlight it, but the early days of feminism were marked by internal conflicts and disagreements that were intense and divisive."
"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.","['eviscerating', 'bomb', 'bold']",yes,"A strong statement Wednesday from former Secretary of Defense Gen. James Mattis criticizing Donald Trump has made a significant impact in the Senate Republican caucus, causing members to react in various ways."
The justices threw out a challenge from gun rights groups.,[],no,The justices threw out a challenge from gun rights groups.
The Trump administration shelved a document created by the nation's top disease investigators with step-by-step advice to local authorities on how and when to reopen restaurants and other public places during the still-raging coronavirus outbreak,['shelved'],yes,The Trump administration postponed a document created by the nation's top disease investigators with step-by-step advice to local authorities on how and when to reopen restaurants and other public places during the ongoing coronavirus outbreak.
"Apparently, even many people within the gun rights movement are concerned and are working to prevent people from openly bringing weapons to the rally but with leaders like Tucker Carlson and Donald Trump rooting them on, the “good people” who will descend on Richmond on January 20 may feel like they have approval to light a spark.","['rooting', 'good', 'people']",yes,"Apparently, even many people within the gun rights movement are concerned and are working to prevent people from openly bringing weapons to the rally, but with leaders like Tucker Carlson and Donald Trump supporting them, those attending the Richmond rally on January 20 may feel encouraged to take action."
It was at this point that Trump thought it’d be a good idea to start bragging.,"['good', 'bragging']",yes,It was at this point that Trump decided to highlight his achievements.
"More subtly, however, Pelosi is also using her gender to put Trump — who is visibly unnerved by having any woman around that isn’t clearly there to serve him, sexually or otherwise — on his heels.","['gender', 'visibly', 'unnerved', 'subtly', 'serve', 'sexually']",yes,"More tactfully, however, Pelosi is using her position to challenge Trump — who seems uncomfortable when interacting with women who are not in roles he perceives as subordinate — and put him on the defensive."
"India’s Prime Minister Narendra Modi is often compared to Donald Trump, especially when it comes to his anti-Muslim policies.",['anti-Muslim'],yes,"India’s Prime Minister Narendra Modi is often compared to Donald Trump, especially with regard to his policies toward religious minorities."
"Carmen Lodato wears a pin with her mother’s face — a reminder of the heart-wrenching murder six years ago in Alexandria, Va., that got her into the fight for gun control.","['heart-wrenching', 'gun', 'control']",yes,"Carmen Lodato wears a pin with her mother’s face — a reminder of the tragic murder six years ago in Alexandria, Va., that motivated her involvement in advocating for gun safety measures."
"Palmer had been using the power of deputization to create a private armed force comprised of his political supporters—and he gave them tremendous powers, including the ability to harass his enemies.","['tremendous', 'harass', 'enemies', 'power', 'armed', 'force', 'private']",yes,"Palmer had been using deputization to form a group of his political supporters and granted them significant authority, including the ability to intimidate his opponents."
"The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own, no matter how much money is poured into it, how much training its troops are given, or how many of its battles American soldiers fight.","['stubborn', 'incapable', 'tragedy']",yes,"The challenges of America’s 18 years in Afghanistan have been marked by a reluctance to acknowledge the Afghan government’s struggles to stand on its own, despite the financial support, training provided to its troops, and the involvement of American soldiers in its battles."
"Sargent has written leftist pieces at the Washington Post for years. In March 2016, Sargent called then-candidate Donald Trump a “nightmare nominee,” saying that not even white men like Trump.","['nightmare', 'nominee', 'leftist']",yes,"Sargent has written articles with progressive viewpoints at the Washington Post for years. In March 2016, Sargent described then-candidate Donald Trump as a problematic nominee, stating that even some white men did not support Trump."
It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to cut their often-astronomical wages.,['often-astronomical'],yes,It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to reduce their high wages.
"But the timing made the mailer less of an attack than an argument in favor of Lewis George: It arrived in mailboxes as protests over police killings of Black people, including George Floyd in Minneapolis, broke out nationwide and sparked calls for massive overhauls of police departments across the country.",[],no,"But the timing made the mailer less of an attack than an argument in favor of Lewis George: It arrived in mailboxes as protests over police killings of Black people, including George Floyd in Minneapolis, broke out nationwide and sparked calls for reforms in police departments across the country."
Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance. These groups have converged to spread the same dangerous and self-defeating message.,"['dangerous', 'self-defeating', 'unholy']",yes,Coronavirus vaccine and quarantine protesters in America have formed a COVID-19 alliance. These groups have converged to spread a message that is harmful and counterproductive.
"Although U.S.-based sporting goods companies now produce almost none of their own gear, increasing the cost of imports from China could still jeopardize thousands of U.S. white collar jobs in design, product development, and sales and marketing.",['jeopardize'],yes,"Although U.S.-based sporting goods companies now produce almost none of their own gear, increasing the cost of imports from China could still affect thousands of U.S. white collar jobs in design, product development, and sales and marketing."
"As leading 2020 Dems advocate spending big on the Green New Deal, it turns out most Americans are worried about other issues.",['big'],yes,"As leading 2020 Democrats advocate significant spending on the Green New Deal, it turns out most Americans are worried about other issues."
The specter of “abortion regret” has been used by lawmakers and judges alike to impose or uphold rules making it harder for people to get abortions.,"['abortion', 'regret', 'specter']",yes,"Concerns about ""regret"" have been used by lawmakers and judges alike to impose or uphold rules making it harder for people to access abortions."
But the national and global trends spin a tale of two separate realities. An irrational fear of vaccines among well-educated and largely white Americans has fueled an utterly preventable and dangerous disease that had been considered “eliminated” by scientists.,"['irrational', 'preventable', 'utterly']",yes,But the national and global trends highlight two separate realities. A fear of vaccines among well-educated and largely white Americans has contributed to a disease that was previously considered “eliminated” by scientists.
"China – the country that throws its minorities into concentration camps and uses them for slave labor, the brutal authoritarian regime driven by Han Chinese racial supremacist ideology, the government that thinks nothing of wiping out entire villages if it needs to build a few dams quickly to put on a good show for the Olympics – boasted of its superior compassion and tolerance in the pages of the CCP’s Global Times on Monday","['brutal', 'racial', 'supremacist', 'throws', 'superior']",yes,"China – a country where minorities face severe repression, with accusations of forced labor in camps and human rights abuses, and a government that has been criticized for its handling of development projects at the expense of local communities – boasted of its compassion and tolerance in the pages of the CCP’s Global Times on Monday."
"Reporting from Buzzfeed News Thursday evening exposed how President Donald Trump’s immigration policies led to four deaths and preventable surgeries for children held in the administration’s detention regime, including one eight-year-old boy whose forehead was partially removed.","['exposed', 'regime', 'detention']",yes,"Reporting from Buzzfeed News Thursday evening highlighted how President Donald Trump’s immigration policies led to four deaths and preventable surgeries for children held in the administration’s detention system, including one eight-year-old boy whose forehead was partially removed."
"In the seven years since, Warren has become the most active politician in America when it comes to investigating, transforming and eliminating student debt.",[],no,"In the seven years since, Warren has been highly involved in efforts related to investigating, transforming, and eliminating student debt."
"President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.","['crucial', 'horrible', 'corrupt', 'tremendous']",yes,"President Donald Trump says that voting by mail is “problematic” and “susceptible to fraud” because of the “potential for voter fraud” which could impact elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are working to ensure this key swing state can hold a safe election during the coronavirus pandemic."
"Meanwhile, a pervasive celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has poisoned the idea of what constitutes expertise.","['pervasive', 'poisoned']",yes,"Meanwhile, a widespread celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has influenced the perception of what constitutes expertise."
"That Sanders’ proposal lacks any sort of means-testing requirement makes it clear that he believes this is something all people deserve, but it’s unclear why, or how that’s a worthwhile investment given that it will be allocated toward those who are relatively rich (or could have been relatively rich had they not gotten a useless master’s degree that doesn’t translate into higher earnings).","['clear', 'useless', 'lacks']",yes,"That Sanders’ proposal does not include a means-testing requirement suggests that he believes this is something all people deserve, but it’s unclear why, or how that’s a worthwhile investment given that it will be allocated toward those who are relatively wealthy (or could have been relatively wealthy had they not obtained a master’s degree that doesn’t translate into higher earnings)."
"Greta Thunberg, the teenage climate activist from Sweden, the 16-year-old’s steely-eyed courage has helped inspire kids across the country — and the world — to join her call to strike from school last week and stand up for more aggressive action to combat the climate crisis.","['steely-eyed', 'courage', 'aggressive']",yes,"Greta Thunberg, the teenage climate activist from Sweden, the 16-year-old’s determination has helped inspire kids across the country — and the world — to join her call to strike from school last week and advocate for stronger action to combat the climate crisis."
Lexington’s Bishop John Stowe is admonishing Covington Catholic students insisting that the teens can’t claim to be “pro-life” while supporting a president who “denigrates” immigrants and refugees.,"['admonishing', 'denigrates', 'pro-life']",yes,"Lexington’s Bishop John Stowe is urging Covington Catholic students, stating that the teens cannot claim to be “pro-life” while supporting a president who criticizes immigrants and refugees."
Officials at Dartmouth College looked the other way this week when a group of leftist student activists disrupted classes to bring attention to their support for the Green New Deal.,"['leftist', 'disrupted', 'other', 'way']",yes,Officials at Dartmouth College overlooked the actions of a group of student activists who interrupted classes to bring attention to their support for the Green New Deal.
How anti-vaxxers target grieving moms and turn them into crusaders against vaccines,"['target', 'crusaders', 'anti-vaxxers']",yes,How individuals opposed to vaccines influence grieving mothers to speak out against vaccination.
"Chinese state media outlets have been bursting with criticism for President Donald Trump during the current round of riots, but the Chinese Communist Party (CCP) also tossed a few bricks at former President Barack Obama and his Democrat Party, needling them for doing little about racial issues and touting China’s efforts to care for its poor and disenfranchised as vastly superior to the Democrats’ half-hearted socialism.","['bursting', 'tossed', 'few', 'bricks', 'needling', 'half-hearted', 'socialism', 'vastly', 'superior']",yes,"Chinese state media outlets have expressed criticism of President Donald Trump during the current round of protests, while the Chinese Communist Party (CCP) also criticized former President Barack Obama and the Democratic Party for their limited actions on racial issues and emphasized China’s efforts to care for its disadvantaged populations as more effective than the Democrats’ approach to socialism."
"If Trump’s actions threatened to turn the culture war into an active shooting war, that would just be collateral damage on the road to his political recovery.","['war', 'threatened', 'damage']",yes,"If Trump’s actions risked escalating the culture conflict into violence, that could be considered an unfortunate consequence on the path to his political recovery."
Maynor’s story underscores a harsh reality: Youth sports is a multi-billion dollar industry in the U.S. and not every kid has the chance to participate.,"['harsh', 'reality']",yes,"Maynor’s story highlights an important issue: Youth sports is a multi-billion dollar industry in the U.S., and not every child has the opportunity to participate."
"Reilly also suggested that Trump’s “grudge” against Puerto Rico correlates with a soured golf course deal on the island, and explained why the sport may be responsible for Trump’s embrace of a wild conspiracy theory about wind turbines causing cancer.","['wild', 'conspiracy', 'theory', 'grudge', 'soured']",yes,"Reilly also suggested that Trump’s issues with Puerto Rico are connected to a golf course deal on the island, and explained why the sport may have influenced Trump’s support of a claim about wind turbines causing cancer."
"Although Facebook Chief Operating Officer Sheryl Sandberg specified that her donation to Planned Parenthood Action Fund was a personal one, and not associated with Facebook, it is worth noting that in the last year the social media giant Sandberg leads has been caught censoring pro-life political ads.","['pro-life', 'caught', 'worth', 'noting']",yes,"Although Facebook Chief Operating Officer Sheryl Sandberg specified that her donation to Planned Parenthood Action Fund was a personal one, and not associated with Facebook, it is important to mention that in the last year the social media company Sandberg leads has faced criticism for censoring political ads related to abortion."
"Biden, who based his successful bid for the Democratic nomination on the importance of defeating Trump and returning to normalcy, had long resisted calls to eliminate student debt.",['normalcy'],yes,"Biden, who based his successful bid for the Democratic nomination on the importance of defeating Trump and restoring stability, had long resisted calls to eliminate student debt."
Even a member of French President Emmanuel Macron’s La République en Marche! (LREM/Republic on the Move) slammed the sports hijab.,['slammed'],yes,Even a member of French President Emmanuel Macron’s La République en Marche! (LREM/Republic on the Move) criticized the sports hijab.
"The media have tried to convince voters of Trump's failure for many years, but have thus far been unable to do so. Tuesday's special elections show we should hold off on the ""Blue Wave"" and ""Trump can't win"" narratives.","['failure', ""can't"", 'win']",yes,"The media have tried to persuade voters about Trump’s performance for many years, but have not succeeded so far. Tuesday's special elections suggest we should hold off on the ""Blue Wave"" and ""Trump may not win"" narratives."
"At least Morrissey, who stepped into his son’s life after an unexpected pregnancy, chose life — unlike Northam, who supports late-term abortion and advocates for killing unwanted children after failed abortions.","['killing', 'unwanted']",yes,"At least Morrissey, who became involved in his son’s life after an unexpected pregnancy, chose to raise him — unlike Northam, who supports late-term abortion and advocates for care in the case of failed abortions."
"Some people have expressed concern that full cancellation could reward wealthier—and whiter—people, who are less in need than others. But full cancellation will reduce the racial wealth gap.",['whiter'],yes,"Some people have expressed concern that full cancellation could reward wealthier individuals, who are less in need than others. But full cancellation will reduce the racial wealth gap."
"Ever since Democratic presidential candidate Sen. Elizabeth Warren (D-Mass.) revealed her plan to forgive student debt and make public universities free on Monday morning, the internet has been a carnival of bad faith, magical thinking and misinformation about the nature of college costs in the United States.","['bad', 'faith', 'magical', 'thinking', 'misinformation', 'carnival']",yes,"Ever since Democratic presidential candidate Sen. Elizabeth Warren (D-Mass.) revealed her plan to forgive student debt and make public universities free on Monday morning, the internet has been filled with criticism and misunderstandings about the nature of college costs in the United States."
"The issue of mandatory vaccination is once again an item of debate in media circles given the recent outbreaks in measles, and fueled this week by the continued inability of politicians to discuss vaccination policy without sounding like anti-science fools.","['anti-science', 'fools']",yes,"The issue of mandatory vaccination is once again an item of debate in media circles given the recent outbreaks in measles, and fueled this week by the ongoing challenges of discussing vaccination policy in a constructive manner."
"While each sport has its own rules with regards to religious headwear, Muslim women who compete while wearing a hijab have faced a litany of obstacles.","['litany', 'obstacles']",yes,"While each sport has its own rules with regards to religious headwear, Muslim women who compete while wearing a hijab have faced several challenges."
"Indeed, that original NYT report suggested that the management at Trump’s club in New Jersey was well aware of the fact that it employed undocumented immigrants, and it deliberately took steps to obscure the fact that it broke the law – repeatedly, over the course of several years.","['deliberately', 'obscure', 'repeatedly']",yes,"Indeed, that original NYT report suggested that the management at Trump’s club in New Jersey was aware of the fact that it employed undocumented immigrants, and it took steps to conceal the fact that it violated the law over the course of several years."
"For a fleeting moment on Tuesday, the political universe was kumbayaing in mutual disgust at Donald Trump’s meeting with Robert Kennedy Jr.","['mutual', 'disgust', 'kumbayaing']",yes,"For a brief moment on Tuesday, the political universe expressed strong disagreement with Donald Trump’s meeting with Robert Kennedy Jr."
"CNN anchor Chris Cuomo was quick to defend climate activist Greta Thunberg from ""Trumpers"" who mocked her on Thursday but was quickly reminded about the settlement his network recently made with Covington Catholic High School student Nick Sandmann.",['mocked'],yes,"CNN anchor Chris Cuomo was quick to defend climate activist Greta Thunberg from ""Trumpers"" who criticized her on Thursday but was quickly reminded about the settlement his network recently made with Covington Catholic High School student Nick Sandmann."
Yet it's merely the tip of the iceberg of war criminals lurking -- and working -- on U.S. turf.,"['lurking', 'iceberg']",yes,Yet it's only the beginning of the issue of war criminals present and operating on U.S. turf.
"The result was a mess: car manufacturers, which had already begun taking steps to comply with the Obama-era tough fuel-efficiency standards for the auto industry, faced the prospect of having to make different vehicles to sell in different parts of the country.",['mess'],yes,"The result was complicated: car manufacturers, which had already begun taking steps to comply with the Obama-era tough fuel-efficiency standards for the auto industry, faced the prospect of having to make different vehicles to sell in different parts of the country."
"But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President personally promoted miracle quack cures like hydroxychloroquine and demonstrated his unbridled personal buffoonery by wondering aloud about the possibility of drinking bleach and injecting sunlight as a method of curing oneself of coronavirus.","['quack', 'unbridled', 'buffoonery']",yes,"But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President personally promoted treatments like hydroxychloroquine and suggested unconventional methods such as drinking bleach and injecting sunlight as potential ways to treat coronavirus."
"For far too many on the left, chaos is the point. Destruction is the goal. They prefer the unknown madness that lies ahead to whatever is still managing to (barely) hold us together in the present.","['chaos', 'unknown', 'madness', 'Destruction']",yes,"For far too many on the left, upheaval seems to be the objective. They appear to favor uncertainty over the current system that continues to hold things together, albeit with difficulty."
"The New York Times recently published a fairly detailed fact-check of these Trump World arguments that democrats don’t mind executing babies after birth, and not surprisingly, the rhetoric is irresponsibly wrong.","['irresponsibly', 'wrong', 'executing', 'babies']",yes,"The New York Times recently published a detailed fact-check of these arguments that Democrats support post-birth abortion, and the rhetoric is factually inaccurate."
"Netflix's statements related to leaving Georgia if fetal heartbeat law goes into effect is the company’s way of firing a warning shot to Georgia and similar states: Conform to our Hollywood ideals and values, or we won’t give you our business.",['Conform'],yes,"Netflix's statements related to leaving Georgia if the fetal heartbeat law goes into effect is the company’s way of signaling to Georgia and similar states: Adhere to our values, or we won’t conduct business with you."
"How do we deal with the false perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media’s fondness for focusing on the unscientific views of some conservatives but ignoring the irrational—and oftentimes, more consequential—beliefs of their fellow liberals?","['irrational', 'liberals', 'false', 'perception', 'consequential']",yes,"How do we address the perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media’s focus on the unscientific views of some conservatives while not equally addressing the views of some liberals?"
"Tokyo Games is even more of a dream fulfilled for the small baseball community in Israel, comprised mostly of American immigrants, and which has languished for decades in the country’s sporting wilderness.","['immigrants', 'languished']",yes,"Tokyo Games is even more of a dream fulfilled for the small baseball community in Israel, composed largely of American-born individuals, which has faced challenges in the country’s sporting landscape for decades."
As the ranks of Democratic Party 2020 presidential hopefuls continue to swell and Trump’s chaotic lawlessness proliferates it’s easy to miss a deepening crisis that’s already taking a toll on millions of households and is about to get much worse.,"['lawlessness', 'proliferates', 'chaotic', 'crisis']",yes,"As the number of Democratic Party 2020 presidential hopefuls continues to grow and Trump’s actions gain attention, it’s easy to overlook a deepening issue that is already affecting millions of households and is expected to worsen."
