biased_sentence,debiased_sentence,model_output
"In October, Breitbart London reported that French police are allegedly actively assisting migrants to avoid detection by UK Border Force, telling them when and when not to attempt to cross the channel, according to a people smuggler.","In October, Breitbart London reported that French police are allegedly actively assisting migrants to avoid detection by UK Border Force, telling them when and when not to attempt to cross the channel, according to a people smuggler.","In October, Breitbart London reported that French police are allegedly actively assisting migrants to avoid detection by UK Border Force, telling them when and when not to attempt to cross the channel, according to a people smuggler."
It’s not taxpayers’ fault that someone spent a lot of money she doesn’t have without a clear vision for how that degree could improve her later financial prospects.,It’s not taxpayers’ fault that someone spent a lot of money she doesn’t have without a well-defined plan for how that degree could improve her later financial prospects.,It’s not taxpayers’ fault that someone spent a lot of money she doesn’t have without a well-defined plan for how that degree could improve her later financial prospects.
"For a fleeting moment on Tuesday, the political universe was kumbayaing in mutual disgust at Donald Trump’s meeting with Robert Kennedy Jr.","For a brief moment on Tuesday, the political universe expressed strong disagreement with Donald Trump’s meeting with Robert Kennedy Jr.","For a brief moment on Tuesday, the political universe was expressing shared disapproval of Donald Trump’s meeting with Robert Kennedy Jr."
"Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell less efficient vehicles that pollute more.","Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell vehicles with lower fuel efficiency that produce more pollution.","Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell vehicles that pollute more."
"At least Morrissey, who stepped into his son’s life after an unexpected pregnancy, chose life — unlike Northam, who supports late-term abortion and advocates for killing unwanted children after failed abortions.","At least Morrissey, who became involved in his son’s life after an unexpected pregnancy, chose to raise him — unlike Northam, who supports late-term abortion and advocates for care in the case of failed abortions.","At least Morrissey, who stepped into his son’s life after an unexpected pregnancy, chose life — unlike Northam, who supports late-term abortion and advocates for ending life after failed abortions."
"Breaking store windows, setting buildings on fire, vandalizing monuments to American heroes, leaving graffiti threats on synagogue walls, attacking Christian churches and tombstones, terrorizing the living, and giving no peace to the dead— these are the great accomplishments of Antifa and those they egg on.","Breaking store windows, setting buildings on fire, vandalizing monuments, leaving graffiti on synagogue walls, damaging churches and tombstones, and causing distress to communities— these are some of the actions attributed to Antifa and their supporters.","Breaking store windows, setting buildings on fire, vandalizing monuments to American heroes, leaving graffiti threats on synagogue walls, damaging Christian churches and tombstones, causing harm to the living, and giving no rest to the dead— these are the actions of Antifa and those they encourage."
"This includes children that officials have stolen from their families, done so with full knowledge that family separation and detention cause long-term harm to children, and done so with the fact that for the first time in years, migrant kids have died under U.S. watch.","This includes children that officials have separated from their families, done so with full knowledge","This includes children that officials have separated from their families, done so with full knowledge that family separation and detention cause long-term harm to children, and done so with the fact that for the first time in years, migrant kids have died under U.S. watch."
"High unemployment numbers among foreign-born nationals have been an issue that has plagued Sweden for years, with reports often showing the migrant unemployment rate as being several times higher than that of native Swedes.","High unemployment numbers among foreign-born nationals have been an issue in Sweden for years, with reports often showing the migrant unemployment rate as being several times higher than that of native Swedes.","High unemployment numbers among foreign-born nationals have been an issue that has affected Sweden for years, with reports often showing the migrant unemployment rate as being several times higher than that of native Swedes."
Her proposal brings into sharp focus conservatives’ crusade to legislate control of women’s bodies through restrictive abortion bills and other measures that undermine reproductive rights.,Her proposal highlights conservatives’ efforts to regulate women’s bodies through abortion bills and other measures that limit reproductive rights.,Her proposal highlights conservative efforts to legislate control of women’s bodies through abortion bills and other measures that impact reproductive rights.
"When it comes to the Green New Deal blueprint to address the climate crisis, Republicans generally like to pretend it calls for the elimination of hamburgers.","When it comes to the Green New Deal blueprint to address the climate crisis, Republicans often claim it calls for the elimination of hamburgers.","When it comes to the Green New Deal blueprint to address the climate crisis, Republicans often claim it calls for the elimination of hamburgers."
"President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations, after 43 years in public office.","President Donald Trump in an interview on Wednesday criticized former Vice President Joe Biden for his handling of race relations, after 43 years in public office.","President Donald Trump in an interview on Wednesday criticized former Vice President Joe Biden for his approach to race relations, after 43 years in public office."
"As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have had their wages dragged down by foreign workers imported through the H-2B visa program.","As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have experienced wage competition due to foreign workers imported through the H-2B visa program.","As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have had their wages affected by foreign workers imported through the H-2B visa program."
Even though Thunberg is capable of doing things many on the right refuse to do — such as read and understand scientific evidence — right-wingers argued that Thunberg and her fellow youth activists cannot think for themselves.,"Even though Thunberg is recognized for engaging with scientific evidence, critics on the right have argued that Thunberg and her fellow youth activists cannot think independently.",Even though Thunberg is capable of doing things many on the political right refuse to do — such as read and consider scientific evidence — some critics argued that Thunberg and her fellow youth activists cannot think for themselves.
"Oh for crying out loud. The desperation. Imagine if you got your news only from the New York Times, and how bigoted that would make you against non-liberals.","Imagine if you got your news only from the New York Times, and how it might influence your perspective on non-liberals.","Oh for goodness sake. The frustration. Imagine if you got your news only from the New York Times, and how biased that would make you against non-liberals."
Letters from GOP members of Congress and national pro-life leaders to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to exploit the coronavirus pandemic for the purpose of advancing their party’s pro-abortion agenda.,Letters from GOP members of Congress and national anti-abortion leaders to the White House and the Food and Drug Administration (FDA) last week asserted that Democrats are attempting to use the coronavirus pandemic to advance their party’s position on abortion.,Letters from GOP members of Congress and national leaders opposed to abortion to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to use the coronavirus pandemic to advance their party’s stance on abortion.
"Omar believes USA Powerlifting is discriminating against males who identify as transgender women, based on the “myth” that they have a “direct competitive advantage” over biological females.","Omar believes USA Powerlifting is discriminating against males who identify as transgender women, disputing the notion that they have a “direct competitive advantage” over biological females.","Omar believes USA Powerlifting is discriminating against males who identify as transgender women, based on the belief that they have a “direct competitive advantage” over biological females."
"Trying to bar women from abortion is bad enough in regular times, but it seemed even more sadistic during a pandemic and an economic crash, when financial and health concerns weigh more heavily than ever on women deciding whether or not continue pregnancies.","Trying to restrict access to abortion is difficult enough in regular times, but it seemed even more harmful during a pandemic and an economic crash, when financial and health concerns weigh more heavily than ever on women deciding whether or not to continue pregnancies.","Trying to bar women from abortion is harmful enough in regular times, but it seemed particularly cruel during a pandemic and an economic crash, when financial and health concerns weigh more heavily than ever on women deciding whether or not continue pregnancies."
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,Several medical and advocacy groups have argued that abortion services should be considered essential health care during the coronavirus pandemic and not subject to delays or reductions in availability that could affect other health services.,Several medical and advocacy groups have argued that abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.
"In an article posted by NBC News on Monday, the AP argues that even erstwhile allies, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport.","In an article posted by NBC News on Monday, the AP argues that even former supporters, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport.","In an article posted by NBC News on Monday, the AP argues that even former supporters, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport."
"Indeed, just this week, Donald Trump, who once said the climate crisis was a hoax concocted by the Chinese, marveled at cold temperatures throughout the Midwest, convinced that the frigid weather is evidence of … something.","Indeed, just this week, Donald Trump, who once described the climate issue as a fabrication, expressed surprise at cold temperatures throughout the Midwest, believing that the frigid weather is evidence of … something.","Indeed, just this week, Donald Trump, who once said the climate change was a hoax concocted by the Chinese, expressed surprise at cold temperatures throughout the Midwest, convinced that the frigid weather is evidence of … something."
"The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less gung-ho about casting ballots in November.","The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less eager about casting ballots in November.","The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less eager about casting ballots in November."
"Powell and others in the George W. Bush administration lied extensively while making the case for war in Iraq in the early 2000s, fabricating “evidence” of the existence of weapons of mass destruction within the country.","Powell and others in the George W. Bush administration were accused of misrepresenting facts while making the case for war in Iraq in the early 2000s, presenting disputed evidence of the existence of weapons of mass destruction within the country.","Powell and others in the George W. Bush administration provided inaccurate information while making the case for war in Iraq in the early 2000s, exaggerating the existence of weapons of mass destruction within the country."
"But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President personally promoted miracle quack cures like hydroxychloroquine and demonstrated his unbridled personal buffoonery by wondering aloud about the possibility of drinking bleach and injecting sunlight as a method of curing oneself of coronavirus.","But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President personally promoted treatments like hydroxychloroquine and suggested unconventional methods such as drinking bleach and injecting sunlight as potential ways to treat coronavirus.","But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President promoted unproven treatments like hydroxychloroquine and questioned the possibility of drinking bleach and injecting sunlight as a method of curing oneself of coronavirus."
"There was a point a few years ago at which some GOP officials, fearing a backlash in response to the “war on women,” pretended to be pro-choice and used highly deceptive rhetoric about contraception as a way to improve their electoral prospects.","A few years ago, some GOP officials, fearing backlash, expressed support for pro-choice views and discussed contraception in a way that they believed would improve their electoral prospects.","There was a point a few years ago at which some GOP officials, fearing a backlash in response to the “anti-abortion” stance, used misleading language about contraception as a way to improve their electoral prospects."
"The American Petroleum Institute's (API's) estimates were released two days before South Carolina's Democratic primary, where the candidates will compete with platforms that push aggressive agendas on energy and the environment.","The American Petroleum Institute's (API's) estimates were released two days before South Carolina's Democratic primary, where the candidates will compete with platforms that focus on energy and environmental policies.","The American Petroleum Institute's (API's) estimates were released two days before South Carolina's Democratic primary, where the candidates will compete with platforms that push strong agendas on energy and the environment."
"Big Labor is not buying the Democrats' Green New Deal, saying the proposed economic and energy reforms could cause “immediate harm” to millions of union employees and threaten their livelihoods.","Big Labor is not supporting the Democrats' Green New Deal, saying the proposed economic and energy reforms could negatively impact millions of union employees and threaten their livelihoods.","Big Labor is not buying the Democrats' Green New Deal, saying the proposed economic and energy reforms could cause significant negative impacts on millions of union employees and threaten their livelihoods."
Actor and climate change activist Joaquin Phoenix was spotted at Oscars Party with plastic water bottle after climate change rant.,Actor and environmental activist Joaquin Phoenix was spotted at an Oscars party with a plastic water bottle after discussing the issue of climate change.,Actor and activist Joaquin Phoenix was spotted at Oscars Party with a plastic water bottle after speaking about environmental issues.
Lots of politicians and critics across the board have attacked the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.,Lots of politicians and critics across the board have criticized the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.,Lots of politicians and critics across the board have criticized the Green New Deal proposed last week by freshman Democrats Rep. Alexandria Ocasio-Cortez of New York and Sen. Ed Markey of Massachusetts.
"Alarmingly, the Trump administration wants to take the reins off payday lenders.",The Trump administration wants to ease regulations on payday lenders.,The Trump administration wants to take the reins off payday lenders.
"The picture that emerges is of a system of staggering complexity, riddled with obstacles and cracks, that prioritizes babies over mothers, thwarts women at every turn, frustrates doctors and midwives, and incentivizes substandard care.","The picture that emerges is of a highly complex system, marked by challenges and gaps, that emphasizes care for babies over mothers, creates difficulties for women, poses challenges for doctors and midwives, and encourages inconsistent care standards.","The picture that emerges is of a system of significant complexity, filled with obstacles and cracks, that prioritizes babies over mothers, hinders women at every turn, complicates care for doctors and midwives, and encourages lower quality care."
"Netflix's statements related to leaving Georgia if fetal heartbeat law goes into effect is the company’s way of firing a warning shot to Georgia and similar states: Conform to our Hollywood ideals and values, or we won’t give you our business.","Netflix's statements related to leaving Georgia if the fetal heartbeat law goes into effect is the company’s way of signaling to Georgia and similar states: Adhere to our values, or we won’t conduct business with you.","Netflix's statements related to leaving Georgia if fetal heartbeat law goes into effect is the company’s way of sending a message to Georgia and similar states: Align with our Hollywood ideals and values, or we won’t give you our business."
"Major League Baseball is using its financial muscle to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team struggles to qualify.","Major League Baseball is using its resources to support the U.S. women's softball team, which has already secured a spot in the Tokyo Olympics, while the American men's baseball team faces challenges in qualifying.","Major League Baseball is using its resources to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team faces challenges in qualifying."
"Donald Trump announced at the time that the Environmental Protection Agency would be led, at least temporarily, by Andrew Wheeler – a former lobbyist for, among others, Murray Energy, one of the nation’s largest coal companies and former chief counsel for Sen. James Inhofe (R-Okla.), one of the nation’s preeminent climate deniers.","Donald Trump announced at the time that the Environmental Protection Agency would be led, at least temporarily, by Andrew Wheeler – a former lobbyist for, among others, Murray Energy, one of the nation’s largest coal companies and former chief counsel for Sen. James Inhofe (R-Okla.), who has been known for his skepticism about climate change.","Donald Trump announced at the time that the Environmental Protection Agency would be led, at least temporarily, by Andrew Wheeler – a former lobbyist for, among others, Murray Energy, one of the nation’s largest coal companies and former chief counsel for Sen. James Inhofe (R-Okla.), a prominent critic of climate change policies."
"After tremendous pressure on the Department of Homeland Security, Miller is advancing his agenda of not just blocking migrants from entering the country illegally, but making life in the U.S. so unbearable for legal immigrants that they leave the country.","After significant pressure on the Department of Homeland Security, Miller is advancing his efforts to not only block migrants from entering the country illegally, but also to make life in the U.S. difficult for legal immigrants, encouraging them to leave.","After significant pressure on the Department of Homeland Security, Miller is advancing his efforts to not just block migrants from entering the country illegally, but to make life in the U.S. difficult for legal immigrants to the point that they leave the country."
"Like many Americans also crippled by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.","Like many Americans also burdened by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.","Like many Americans burdened by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon."
Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to target the “monopolies” higher education institutions have created to make earning degrees involve accumulating massive student debt.,Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to address the influence higher education institutions have in making earning degrees result in significant student debt.,Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to address the high costs of higher education institutions and the student debt that often results from earning a degree.
"Shelby Steele, a senior fellow at Stanford University’s Hoover Institution said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” was deeply unserious, catering to an old form of victimization that has accomplished nothing to lift up black people.","Shelby Steele, a senior fellow at Stanford University’s Hoover Institution, said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” focuses on longstanding issues but has yet to demonstrate significant progress in improving conditions for black communities.","Shelby Steele, a senior fellow at Stanford University’s Hoover Institution said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” was not focused on meaningful solutions, catering to an old form of victimization that has not significantly improved the lives of black people."
"The over-the-top, theatrical lies of the anti-choice movement are so comical that the mainstream media, for decades, has shied away from covering them too closely, likely out of fear that they’re actually too ridiculous to be believed.","The extreme statements of the anti-choice movement are so exaggerated that the mainstream media, for decades, has been hesitant to cover them too closely, likely out of concern that they might be too implausible to be taken seriously.","The exaggerated, dramatic claims of the anti-abortion movement are so extreme that the mainstream media, for decades, has avoided covering them closely, likely out of fear that they’re too unbelievable to be taken seriously."
"Biden’s five picks are typical of centrists who want to trim the edges of our bloated, draconian justice system without changing anything systemically.",Biden’s five picks are characteristic of those who want to make adjustments to our justice system without making systemic changes.,Biden’s five picks are representative of individuals who want to address the issues within our justice system without making significant changes to its structure.
"But she couldn’t shake criticism that she was an outsider compared to Leger Fernandez, who has served as counsel to several Native American tribes in the northern New Mexico district and had the backing of the Congressional Hispanic Caucus.","But she couldn’t shake the perception that she was an outsider compared to Leger Fernandez, who has served as counsel to several Native American tribes in the northern New Mexico district and had the backing of the Congressional Hispanic Caucus.","But she couldn’t shake opposition that she was an outsider compared to Leger Fernandez, who has served as counsel to several Native American tribes in the northern New Mexico district and had the backing of the Congressional Hispanic Caucus."
"Since the start of the coronavirus outbreak, Trump has hampered efforts to slow the virus’s spread and encouraged Americans’ restlessness under quarantine.","Since the start of the coronavirus outbreak, Trump has hindered efforts to slow the virus’s spread and contributed to Americans’ frustration under quarantine.","Since the start of the coronavirus outbreak, Trump has hindered efforts to slow the virus’s spread and encouraged Americans’ frustration under quarantine."
