biased_sent,debiased_sent,model_output
His articles reflect his flighty opinions on various football topics .,His articles reflect his opinions on various football topics .,His articles reflect his opinions on various football topics .
"Guest stars include Joey Santiago ( Pixies ) , Anna Waronker ( that dog . )","Guest musicians include Joey Santiago ( Pixies ) , Anna Waronker ( that dog . )","Guest stars include Joey Santiago ( Pixies ) , Anna Waronker ( that dog )"
"While the Allies from 1941 often referred to Finland as one of the Axis Powers , this description is strictly erroneous , as Finland was never a signatory to the German-Italian-Japanese Tripartite Pact of September 1940 .","While the Allies from 1941 often referred to Finland as one of the Axis Powers , this description is viewed as erroneous by some ( especially in Finland ) , as Finland was never a signatory to the German-Italian-Japanese Tripartite Pact of September 1940 .","While the Allies from 1941 often referred to Finland as one of the Axis Powers , this description is incorrect , as Finland was never a signatory to the German-Italian-Japanese Tripartite Pact of September 1940 ."
"Steven Isserlis CBE ( born 19 December 1958 , London ) is one of the most renowned living cellists .","Steven Isserlis CBE ( born 19 December 1958 , London ) is a British cellist .","Steven Isserlis ( born 19 December 1958 , London ) is a cellist ."
"Bettie Page : Dark Angel is a biopic based on the last three years of the short career of Bettie Page , a famous American 1950s pin-up and bondage model .","Bettie Page : Dark Angel is a biographical drama based on the last three years of the career of Bettie Page , a famous American 1950s pin-up and bondage model .","Bettie Page : Dark Angel is a biopic based on the last three years of the short career of Bettie Page , a famous American pin-up and bondage model ."
"George Cameron Romero 's script is intended to be an homage to his father 's work , a terrifying glimpse into the political hot bed that was the mid-to-late 1960s and a bookend piece to his father 's original story .","George Cameron Romero 's script is intended to be an homage to his father 's work , a glimpse into the political turmoil of was the mid-to-late 1960s and a bookend piece to his father 's original story .","George Cameron Romero 's script is intended to be an homage to his father 's work , a terrifying glimpse into the political hot bed that was the mid-to-late 1960s and a bookend piece to his father 's original story ."
"Various attempts to block the site based on unsubstantiated allegations of "" hate speech "" have been mostly unsuccesful .","Various attempts to block the site based on allegations of "" hate speech "" have been mostly unsuccesful .","Various attempts to block the site based on allegations of "" hate speech "" have been mostly unsuccesful ."
Nantuko Shade - One of the best black creatures ever printed because of its low cost and sheer power .,Nantuko Shade - Considered by many as a powerful black creature due to its low casting cost and abilities .,Nantuko Shade - One of the best black creatures ever printed because of its low cost and power .
Bancroft was founded in 1900 by a group of Worcester parents interested in providing a rigorous education for their children .,Bancroft was founded in 1900 by a group of Worcester parents interested in providing an education for their children .,Bancroft was founded in 1900 by a group of Worcester parents interested in providing a rigorous education for their children .
"Other countries , namely Brazil and some Muslim countries amongst others , welcomed the result .","Other countries , namely Brazil and some Asian countries amongst others , welcomed the result .","Other countries , namely Brazil and some Muslim countries amongst others , welcomed the result ."
"Most commonly , a baseball cap , nearly always worn at an upwards angle ( higher angles seemingly indicate how "" neddy "" they are ) .","Most commonly , a baseball cap , nearly always worn at an upwards angle .","Most commonly , a baseball cap , nearly always worn at an upwards angle ( higher angles seemingly indicate how "" high "" they are ) ."
"In Romans 16:12 , Phoebe is commended as a deacon not a deaconess but a deacon in the sense of a preacher , a minister .","In Romans 16:12 , Phoebe is commended as a deacon not a deaconess .","In Romans 16:12 , Phoebe is commended as a deacon ."
"Not surprisingly , Browns fans reacted angrily to the news .",Browns fans reacted angrily to the news .,Browns fans reacted angrily to the news .
Its famous son Valentine O'Donnell once destroyed and humiliated Irish International and Manchester City footballer Stephen Ireland in a match and was asked to sign for Manchester City .,Its famous son Valentine O'Donnell once beat Irish International and Manchester City footballer Stephen Ireland in a match and was asked to sign for Manchester City .,Its famous son Valentine O'Donnell once destroyed and humiliated Irish International and Manchester City footballer Stephen Ireland in a match and was asked to sign for Manchester City .
The rise of the party has been directly linked to Angela Merkel 's decision in 2015 to open Germany to a million migrants .,The rise of the party has been directly linked to Angela Merkel 's handling of the refugee crisis .,The rise of the party has been directly linked to Angela Merkel 's decision in 2015 to open Germany to a million migrants .
"No such alert was ever sent , an ABC News spokesman says .","No such alert was ever sent , an ABC News spokesperson said .","No such alert was ever sent , an ABC News representative says ."
"Ohio University is one of the most academically prominent U.S. public research universities located on a campus in Athens , Ohio , United States .","Ohio University is a prominent U.S. public research university located on a campus in Athens , Ohio , United States .","Ohio University is a public research university located on a campus in Athens , Ohio , United States ."
"On The Apprentice Paul , a fan-favourite , often blustered his way to boardroom victories over other , sometimes seemingly more worthy candidates .","On The Apprentice , Paul often blustered his way to boardroom victories over other , sometimes seemingly more worthy candidates .","On The Apprentice Paul , a fan-favourite , often blustered his way to boardroom victories over other , sometimes seemingly less worthy candidates ."
"It should be noted that the nuclear-free zone act does not make building land-based nuclear power plants illegal , and there is considerable support for nuclear power in order to meet Kyoto emissions targets and preserve the country 's unique landscape .","The nuclear-free zone act does not make building land-based nuclear power plants illegal , and there is some business support for investigating nuclear power , which could help meet Kyoto emissions targets and preserve the country 's unique landscape .","It should be noted that the nuclear-free zone act does not make building land-based nuclear power plants illegal , and there is considerable support for nuclear power in order to meet Kyoto emissions targets and preserve the country 's unique landscape ."
"Romrio de Souza Faria ( born January 29 , 1966 ) , better known simply as Romrio ( Romario ) , is a legendary Brazilian football center forward who helped the Brazil national team win the 1994 FIFA World Cup and was one of the most prolific strikers in the world in the 1990s , having had successful tenures with European clubs PSV Eindhoven and FC Barcelona , and in Brazil with Vasco da Gama .","Romrio de Souza Faria ( born January 29 , 1966 ) , better known simply as Romrio ( Romario ) , is a Brazilian football center forward who helped the Brazil national team win the 1994 FIFA World Cup and was one of the most prolific strikers in the world in the 1990s , having had successful tenures with European clubs PSV Eindhoven and FC Barcelona , and in Brazil with Vasco da Gama .","Romrio de Souza Faria ( born January 29 , 1966 ) , better known simply as Romrio ( Romario ) , is a Brazilian football center forward who helped the Brazil national team win the 1994 FIFA World Cup and was one of the most prolific strikers in the world in the 1990s , having had successful tenures with European clubs PSV Eindhoven and FC Barcelona , and in Brazil with Vasco da Gama ."
"The petition was very successful and by the end of 2018 , it had reached over one million signatures .","By the end of 2018 , the petition had reached over one million signatures .","The petition was very successful and by the end of 2018 , it had reached over 1 million signatures ."
The report details how children are transported in caged vans in the interests of common sense and watched by opposite sex staff as they dress .,"The report details how children are transported in caged vans , and watched by opposite - sex staff as they dress .",The report details how children are transported in caged vans in the interests of common sense and watched by opposite sex staff as they dress .
"Powerline is similar to other R & B dinosaurs like Prince , Stevie Wonder and the late , great Michael Jackson .","Powerline is similar to other R & B stars like Prince , Stevie Wonder and the late Michael Jackson .","Powerline is similar to other R & B dinosaurs like Prince , Stevie Wonder and the late , great Michael Jackson ."
"A prolific writer , she has written more than 45 books , including ten encyclopedias .","She has written more than 45 books , including ten encyclopedias .","A prolific writer , she has written more than 45 books , including ten encyclopedias ."
"Yasukuni Shrine ( Tokyo ) , a controversial shrine dedicated to Japanese , mostly soldiers , who died for the Emperor .","Yasukuni Shrine ( Tokyo ) , a controversial shrine dedicated to Japanese soldiers .","Yasukuni Shrine ( Tokyo ) , a controversial shrine dedicated to Japanese , mostly soldiers , who died for the Emperor ."
"In the first overtime , the Hoosiers and Boilers were tied 61-61 when a questionable foul was called on Purdue 's Andrew Ford with 0.9 seconds remaining .","In the first overtime , the Hoosiers and Boilers were tied 61-61 when a foul was called on Purdue 's Andrew Ford with 0.9 seconds remaining .","In the first overtime , the Hoosiers and Boilers were tied 61-61 when a questionable foul was called on Purdue 's Andrew Ford with 0.9 seconds remaining ."
"The Kirpan is a ceremonial sword or dagger ( although it is disrespectful to call it a dagger ) that must be worn by all baptised Sikhs ( Khalsa ) , after a mandatory religious commandment given by Guru Gobind Singh ( the tenth Guru of Sikhism ) in 1699 AD .","The Kirpan is a ceremonial sword or dagger that must be worn by all baptised Sikhs ( Khalsa ) , after a mandatory religious commandment given by Guru Gobind Singh ( the tenth Guru of Sikhism ) in 1699 AD .","The Kirpan is a ceremonial sword or dagger ( although it is disrespectful to call it a dagger ) that must be worn by all baptised Sikhs ( Khalsa ) , after a mandatory religious commandment given by Guru Gobind Singh ( the tenth Guru of Sikhism ) in 1699 AD ."
"Ebert often makes heavy use of mocking sarcasm , especially when reviewing bad movies , of which he has earned a reputation for being scathingly critical .","Ebert often makes heavy use of mocking sarcasm , especially when reviewing movies he considers bad .","Ebert often makes heavy use of mocking sarcasm , especially when reviewing bad movies , of which he has earned a reputation for being critical ."
"Mackey was known as a physical player at Georgia Tech , and once set a clean screen on Duke 's Bobby Hurley that left Hurley crumpled on the floor with a concussion , even though Mackey did not move while setting it .","Mackey was known as a physical player at Georgia Tech , and once set a clean screen on Duke 's Bobby Hurley that left Hurley crumpled on the floor with a concussion .","Mackey was known as a physical player at Georgia Tech , and once set a clean screen on Duke 's Bobby Hurley that left Hurley crumpled on the floor with a concussion ."
"This "" Germanization "" and the resultant cultural dilution or "" barbarization "" , led to lethargy , complacency and loyalty to the Roman commanders , instead of the Roman government , among the legions and a surge in decadence amongst Roman citizenry .","This "" Germanization "" and the resultant cultural dilution or "" barbarization "" , led to lethargy , complacency and loyalty to the Roman commanders , instead of the Roman government , among the remaining troops and a surge in decadence amongst Roman citizenry .","This "" Germanization "" and the resultant cultural dilution or "" barbarization "" , led to lethargy , complacency and loyalty to the Roman commanders , instead of the Roman government , among the legions and a surge in decadence amongst Roman citizenry ."
"Because of this usage , many people take offense when the religious narratives they believe to be true are called myths ( see Religion and mythology for more information ) .","While many people take offense when the religious narratives they believe to be true are called ' myths ' ( see Religion and mythology for more information ) , these stories remain universally unprovable .","Because of this usage , many people take offense when the religious narratives they believe to be true are called myths ( see Religion and mythology for more information ) ."
"However , while some practices are not illegal , they may be seen as abusive and in need of reform , particularly by defendants seeking to avoid responsibility for their actions , and the criminal defense industry :","However , while some practices are not illegal , they may be seen as abusive and in need of reform , particularly by defendants and the criminal defense industry :","However , while some practices are not illegal , they may be seen as abusive and in need of reform , particularly by defendants seeking to avoid responsibility for their actions , and the criminal defense industry :"
"The three new planets would be Charon ( formerly considered a moon of Pluto ; now considered a double planet ) , Ceres ( first considered a planet , then an asteroid ) , and the recently discovered ( nicknamed Xena ) , quite deservedly .","The three new planets would be Charon ( formerly considered a moon of Pluto ; now considered a double planet ) , Ceres ( first considered a planet , then an asteroid ) , and the recently discovered ( nicknamed Xena ) .","The three new planets would be Charon ( formerly considered a moon of Pluto ; now considered a double planet ) , Ceres ( first considered a planet , then an asteroid ) , and the recently discovered ( nicknamed Xena ) ."
"Lothar Hbelt ( born 30 June 1956 in Vienna ) is an Austrian historian , a Professor of Modern History at the University of Vienna , and described as one of Austria 's leading modern political historians .","Lothar Hbelt ( born 30 June 1956 in Vienna ) is an Austrian historian , a Professor of Modern History at the University of Vienna .","Lothar Hbelt ( born 30 June 1956 in Vienna ) is an Austrian historian , a Professor of Modern History at the University of Vienna , and described as one of Austria 's leading modern political historians ."
"In April 2013 he also voted against banning high-capacity magazines , banning most semi-automatic rifles , and outlawing loopholes in which a person purchases a gun for a criminal or terrorist .","In April 2013 he also voted against banning high-capacity magazines , banning most semi-automatic rifles , and outlawing loopholes in which one person purchases a gun for another person .","In April 2013 he also voted against banning high-capacity magazines , banning most semi-automatic rifles , and outlawing loopholes in which a person purchases a gun for a criminal or terrorist ."
"Since then , the words "" You 're no Jack Kennedy "" or some other variation on Bentsen 's famous exchange , have become a part of the political lexicon as a way to insult a politician or other individual who thinks too highly of himself .","Since then , the words "" You 're no Jack Kennedy "" or some other variation on Bentsen 's famous exchange , have become a part of the political lexicon as a way to insult politicians or other individuals who think too highly of themselves .","Since then , the words "" You 're no Jack Kennedy "" or some other variation on Bentsen 's famous exchange , have become a part of the political lexicon as a way to insult a politician or other individual who thinks too highly of himself ."
"The requests could not be fulfilled because of confidentiality agreements signed with the data 's owners , including institutions in Spain , Germany , Bahrain and Norway , that restricted the data to academic use .","The Climatic Research Unit stated that requests could not be fulfilled because of confidentiality agreements signed with the data 's owners , including institutions in Spain , Germany , Bahrain and Norway , that restricted the data to academic use .","The requests could not be fulfilled because of confidentiality agreements signed with the data 's owners , including institutions in Spain , Germany , Bahrain and Norway , that restricted the data to academic use ."
"Among other tracks , the college prepares nurses who may then go on to serve at the massive health complex and supporting facilities that surround the Baxter Regional Medical Center located in Mountain Home .","Among other tracks , the college prepares nurses who may then go on to serve at the health complex and supporting facilities that surround the Baxter Regional Medical Center located in Mountain Home .","Among other tracks , the college prepares nurses who may then go on to serve at the health complex and supporting facilities that surround the Baxter Regional Medical Center located in Mountain Home ."
This is a term that is often used to mislead potential buyers of cars .,This is a metric that can mislead potential buyers of cars .,This is a term that is often used to mislead potential buyers of cars .
"Polgr has defeated almost all the world 's top players , although her only win against former world champion Garry Kasparov was in rapid chess .","Polgr has defeated almost all the world 's top players , and in 2006 won a rapid chess game against Garry Kasparov , the former world champion and highest-rated chessplayer of all time .","Polgr has defeated almost all the world 's top players , although her only win against former world champion Garry Kasparov was in rapid chess ."
UK Uncut is a far-left United Kingdom-based protest group established in October 2010 to protest against tax avoidance in the UK and to raise awareness about cuts to public services .,UK Uncut is a United Kingdom-based protest group established in October 2010 to protest against tax avoidance in the UK and to raise awareness about cuts to public services .,UK Uncut is a United Kingdom-based protest group established in October 2010 to protest against tax avoidance in the UK and to raise awareness about cuts to public services .
"When Lord Egremont started to issue his red and black livery to more and more supporters , Earl Salisbury wisely informed King Henry VI that trouble was afoot .","When Lord Egremont started to issue his red and black livery to more and more supporters , Earl Salisbury informed King Henry VI that trouble was afoot .","When Lord Egremont started to issue his red and black livery to more and more supporters , Earl Salisbury informed King Henry VI that trouble was afoot ."
"The local football club , FK Modria , plays in the First League of the Republika Srpska and they 're not playing very well .","The local football club , FK Modria , plays in the First League of the Republika Srpska .","The local football club , FK Modria , plays in the First League of the Republika Srpska and they 're not playing very well ."
Mollie is a silly white horse who likes wearing ribbons ( which represent luxury ) and being pampered by humans .,Mollie is a white mare who likes wearing ribbons ( which represent luxury ) and being pampered by humans .,Mollie is a white horse who likes wearing ribbons ( which represent luxury ) and being pampered by humans .
"Some opposing candidates , including incumbent RNC Chairman Mike Duncan , criticized Saltsman ; others , such as former Ohio Secretary of State Ken Blackwell , joined Saltmsan in criticizing the media for their unparalleled focus on the story and the writing of the LA Times article that first prompted the Shanklin parody .","Some opposing candidates , including incumbent RNC Chairman Mike Duncan , criticized Saltsman ; others , such as former Ohio Secretary of State Ken Blackwell , joined Saltsman in criticizing the media for what they view to be an unparalleled focus on the story and the writing of the LA Times article that first prompted the Shanklin parody .","Some opposing candidates , including incumbent RNC Chairman Mike Duncan , criticized Saltsman ; others , such as former Ohio Secretary of State Ken Blackwell , joined Saltmsan in criticizing the media for their focus on the story and the writing of the LA Times article that first prompted the Shanklin parody ."
They deliberated for just 8 hours .,They deliberated for 8 hours .,They deliberated for 8 hours .
The courtyard is a fascinating place to sit and absorb the atmosphere .,The courtyard is a place to sit and absorb the atmosphere .,The courtyard is a place to sit and absorb the atmosphere .
"Three people were killed and more than 60 wounded , one of the dead being IRA volunteer Caoimhn Mac Brdaigh .","Three people were killed and more than 60 wounded , one of the dead being IRA member Caoimhn Mac Brdaigh .","Three people were killed and more than 60 wounded , one of the dead being IRA volunteer Caoimhn Mac Brdaigh ."
"Polish director Wojciech Has , whose two major films , The Saragossa Manuscript ( 1965 ) and The Hour-Glass Sanatorium ( 1973 ) , are examples of modernist fantasies , has been compared to Fellini for the sheer "" luxuriance of his images "" .","Polish director Wojciech Has , whose two best-received films , The Saragossa Manuscript ( 1965 ) and The Hour-Glass Sanatorium ( 1973 ) , are examples of modernist fantasies , has been compared to Fellini for the sheer "" luxuriance of his images "" .","Polish director Wojciech Has , whose two major films , The Saragossa Manuscript ( 1965 ) and The Hour-Glass Sanatorium ( 1973 ) , are examples of modernist fantasies , has been compared to Fellini for the sheer "" images "" ."
"They are the most hateful , destructive force on the planet , and must be put out of our misery .","They are the most hateful , destructive force on the planet .","They are the most destructive force on the planet , and must be put out of our misery ."
"May 12 , 1941 in a scene seemingly straight out of a film , Polish officers Lieutenants Miki Surmanowicz and Mietek Chmiel , attempted to abseil down a 36 m ( 120 ft ) wall to freedom on a rope constructed out of bed sheets .","May 12 , 1941 Polish officers Lieutenants Miki Surmanowicz and Mietek Chmiel , attempted to abseil down a 36 m ( 120 ft ) wall to freedom on a rope constructed out of bed sheets .","May 12 , 1941 in a scene seemingly straight out of a film , Polish officers Lieutenants Miki Surmanowicz and Mietek Chmiel , attempted to abseil down a 36 m ( 120 ft ) wall to freedom on a rope constructed out of bed sheets ."
"Modern physical cosmology is neutral on truth of the third premise ( that the universe "" began "" to exist and is not a result of inifinite regression of causes ) , asserting that while spacetime as observed tends toward a singularity giving the universe an observed finite age , this does not discount the possibility that the stochastic processes that govern the early evolution of the universe actually cause the universe to be eternal .","Modern physical cosmology is sometimes taken to be neutral on the third premise ( that the universe "" began "" to exist and is not a result of inifinite regression of causes ) , asserting that while spacetime as observed tends toward a singularity giving the universe an observed finite age , this does not discount the possibility that the stochastic processes that govern the early evolution of the universe actually cause the universe to be eternal .","Modern physical cosmology is neutral on truth of the third premise ( that the universe "" began "" to exist and is not a result of inifinite regression of causes ) , asserting that while spacetime as observed tends toward a singularity giving the universe an observed finite age , this does not discount the possibility that the stochastic processes that govern the early evolution of the universe actually cause the universe to be eternal ."
"One of the more surprising facts is that Economic immigrants are now more likely to begin their stay in Canada with a "" low-income "" ( less than 50 % of the median income ) than an immigrant in any of the other immigration classes ( see Table 16 in the study ) .","Economic immigrants are now more likely to begin their stay in Canada with a "" low-income "" ( less than 50 % of the median income ) than an immigrant in any of the other immigration classes ( see Table 16 in the study ) .","One of the more surprising facts is that Economic immigrants are now more likely to begin their stay in Canada with a "" low-income "" ( less than 50 % of the median income ) than an immigrant in any of the other immigration classes ( see Table 16 in the study ) ."
"The territory of the modern prefecture remained under Ottoman rule until 1913 , when it was conquered by the Greek army during the First Balkan War .","The territory of the modern prefecture remained under Ottoman rule until 1913 , when it was annexed by the Greek state after the First Balkan War .","The territory of the modern prefecture remained under Ottoman rule until 1913 , when it was conquered by the Greek army during the First Balkan War ."
"The Russian name is the name of two notable soldiers in the Great Patriotic War ; Piotr Gretzky ( : ru : , ) ( 1904-1972 ) a Soviet army colonel , and Vladimir Gretzky ( : ru : , ) ( 1912-2000 ) a tank commander .","The Russian name is the name of two notable soldiers on the Eastern Front in World War II ; Piotr Gretzky ( : ru : , ) ( 1904-1972 ) a Soviet army colonel , and Vladimir Gretzky ( : ru : , ) ( 1912-2000 ) a tank commander .","The Russian name is the name of two notable soldiers in the Great Patriotic War ; Piotr Gretzky ( : ru : , ) ( 1904-1972 ) a Soviet army colonel , and Vladimir Gretzky ( : ru : , ) ( 1912-2000 ) a tank commander ."
"The year 2000 saw Schama finally return to the UK , having been commissioned by the BBC to produce a series of television documentary programmes on British history as part of their Millennium celebrations , under the title A History of Britain ( Schama was insistent on the title beginning with "" A "" rather than "" The "" , so as to underline that his was a personal subjective view rather than an academic , didactic standard ) .","The year 2000 saw Schama return to the UK , having been commissioned by the BBC to produce a series of television documentary programmes on British history as part of their Millennium celebrations , under the title A History of Britain ( Schama was insistent on the title beginning with "" A "" rather than "" The "" , so as to underline that his was a personal subjective view rather than an academic , didactic standard ) .","The year 2000 saw Schama return to the UK , having been commissioned by the BBC to produce a series of television documentary programmes on British history as part of their Millennium celebrations , under the title A History of Britain ( Schama was insistent on the title beginning with "" A "" rather than "" The "" , so as to underline that his was a personal subjective view rather than an academic , didactic standard ) ."
"Since 1994 , the Irish economy has benefited from considerable inward investment from the multinational sector .","Since 1994 , the Irish economy saw considerable investment from multinational corporation s .","Since 1994 , the Irish economy has benefited from considerable inward investment from the multinational sector ."
The Bulls proved that they deserved their first ever AP/Coaches top 25 ranking with a convincing win over the Tar Heels .,The Bulls received their first ever AP/Coaches top 25 ranking with a convincing win over the Tar Heels .,The Bulls proved that they deserved their first ever AP/Coaches top 25 ranking with a convincing win over the Tar Heels .
"Lande became a hero among young girls of the cities , as he taught a lesson to men teasing girls or harassing them .","Lande became a hero among young girls of the cities , as he took strict action against eve-teasers .","Lande became a hero among young girls of the cities , as he taught a lesson to men teasing girls or harassing them ."
"Sadly , only 25 minutes of it survived .",Only 25 minutes of it is known to exist .,"Sadly , only 25 minutes of it survived ."
"Judd wrote a column for a Melbourne newspaper The Age which he often unsubtly exploited , instead of speaking about football , raising issues including global warming , terrorism , superficiality in the mass media , world peace and James Surowiecki 's book , The Wisdom of Crowds .","Judd wrote a column for a Melbourne newspaper The Age , often raising issues including global warming , terrorism , superficiality in the mass media , world peace and James Surowiecki 's book , The Wisdom of Crowds .","Judd wrote a column for a Melbourne newspaper The Age which he often exploited , instead of speaking about football , raising issues including global warming , terrorism , superficiality in the mass media , world peace and James Surowiecki 's book , The Wisdom of Crowds ."
"The revelation was recorded 20–30 years after the alleged revelation by W. W. Phelps in the 1850s or 1860s and in a letter to Brigham Young written 17 August 1861a time period where church leaders were justifying the practice and origins of Plural Marriage , particularly to Mormon splinter groups who did not agree with or believe in the practice .","The revelation was recorded 20–30 years by W. W. Phelps in the 1850s or 1860s and in a letter to Brigham Young written 17 August 1861a time period where church leaders were justifying the practice and origins of Plural Marriage , particularly to Mormon splinter groups who did not agree with or believe in the practice .","The revelation was recorded 20–30 years after the alleged revelation by W. W. Phelps in the 1850s or 1860s and in a letter to Brigham Young written 17 August 1861a time period where church leaders were justifying the practice and origins of Plural Marriage , particularly to Mormon splinter groups who did not agree with or believe in the practice ."
"Being second only to Muhammad , Ibn Ubayy became a "" figurehead for those Arabs of Medina who , openly or secretly , sneered at the Prophet 's teaching and complained of the confusion and the danger which the coming of the Muslims had brought to Medina ""","Being second only to Muhammad , Ibn Ubayy became a "" figurehead for those Arabs of Medina who , openly or secretly , sneered at Muhammad 's teaching and complained of the confusion and the danger which the coming of the Muslims had brought to Medina ""","Being second only to Muhammad , Ibn Ubayy became a "" figurehead for those Arabs of Medina who , openly or secretly , sneered at the Prophet 's teaching and complained of the confusion and the danger which the coming of the Muslims had brought to Medina """
"John P. Dehlin is the founder of the anti-Mormon podcast , Mormon Stories , and was an influential early participant in the Mormon blogging scene ( sometimes referred to as the bloggernacle ) who has specialized in addressing concerns of those with crises of faith .","John P. Dehlin is the founder of the Mormon Stories Podcast , and was an influential early participant in the Mormon blogging scene ( sometimes referred to as the bloggernacle ) who has specialized in addressing concerns of those with crises of faith .","John P. Dehlin is the founder of the anti-Mormon podcast , Mormon Stories , and was an influential early participant in the Mormon blogging scene ( sometimes referred to as the bloggernacle ) who has specialized in addressing concerns of those with crises of faith ."
"Thelma Drake was first elected after entering the 2004 congressional race less than three months before Election Day ; the then incumbent Republican congressman , Ed Schrock , had made a surprise announcement that he was leaving the race , under a cloud of controversy .","Thelma Drake was first elected after entering the 2004 congressional race less than three months before Election Day ; the then incumbent Republican congressman , Ed Schrock , had made a surprise announcement that he was leaving the race .","Thelma Drake was first elected after entering the 2004 congressional race less than three months before Election Day ; the then incumbent Republican congressman , Ed Schrock , had made a surprise announcement that he was leaving the race ."
